id,customer,product,quantity,price
1,Alice,Laptop,2,50000
2,Bob,Mouse,5,800
3,Charlie,Keyboard,2,1500
4,Alice,Monitor,1,12000
5,Bob,Mouse,3,800
6,Diana,Laptop,1,55000
7,Ethan,Keyboard,4,1800
8,Frank,Monitor,2,14000
9,Grace,Mouse,10,750
10,Hannah,Laptop,1,62000
11,Ian,Headphones,3,2500
12,Jack,Keyboard,2,1600
13,Karen,Monitor,1,13500
14,Liam,Mouse,8,700
15,Mia,Laptop,2,58000
16,Noah,Headphones,5,2200
17,Olivia,Monitor,2,12500
18,Paul,Mouse,6,850
19,Quinn,Keyboard,3,1750
20,Rachel,Laptop,1,60000
21,Sam,Monitor,3,13000
22,Tina,Mouse,12,750
23,Umar,Headphones,2,2800
24,Vera,Keyboard,5,1900
25,Will,Laptop,1,52000
26,Xavier,Monitor,2,14500
27,Yara,Mouse,7,800
28,Zack,Headphones,4,2400
29,Alice,Keyboard,2,1700
30,Bob,Laptop,1,57000
31,Charlie,Monitor,1,15000
32,Diana,Mouse,9,780
33,Ethan,Headphones,3,2600
34,Frank,Keyboard,4,1650
35,Grace,Laptop,2,61000
36,Hannah,Monitor,2,13800
37,Ian,Mouse,5,820
38,Jack,Headphones,2,2300
39,Karen,Keyboard,3,1800
40,Liam,Laptop,1,59000
41,Mia,Monitor,1,12800
42,Noah,Mouse,11,760
43,Olivia,Headphones,4,2700
44,Paul,Keyboard,2,1550
45,Quinn,Laptop,2,54000
46,Rachel,Monitor,3,14200
47,Sam,Mouse,6,810
48,Tina,Headphones,5,2500
49,Umar,Keyboard,3,1850
50,Vera,Laptop,1,63000
